"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B1 Paralegal Off (Lon)","26970","30110","Learning and Development Team Leader","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","47.32","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B1 Paralegal Off (Lon)","26970","30110","Performance Officer","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Area Finance Manager","0.94","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Area Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Court Centre Manager","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","HR Advisor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","HR Advisory Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Paralegal Business Manager","2.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 (Lon)","31560","35020","Victim Liaison Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","6.93","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Area Communications Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","HR Business Partner","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Inclusion and Community Engagement Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Project Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Sector Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Senior Business Manager","3.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Lon)","39750","45530","Senior Project Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level B3 (Nat)","38180","43390","Senior Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level D Admin (Lon)","54760","65050","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level D Admin (Lon)","54760","65050","Head of Area Communications","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level D Admin (Lon)","54760","65050","Senior Operational Business Manager","1.84","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Level E Admin (Lon)","69680","79410","Head of Business Operations Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","31.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Paralegal Assistant (Lon)","20999","24590","Personal Assistant","0.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Principal Crown Advocate (CCD)","99790","120760","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","121.31","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","10.70","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","LONDON SOUTH","CPS-G-019","Specialist Prosecutor (Lon)","61360","71300","Specialist Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","5.20","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","B1 Solicitor Apprentice (Nat)","25480","28430","Trainee Solicitor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Crown Advocate (Nat)","51940","59930","Crown Advocate","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","18.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","14.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Administrative Manager","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Administrative Officer","30.84","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Business Centre Support Officer","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Fees Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Victim Liaison Officer","0.57","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 (Nat)","18736","21950","Witness Care Officer","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","10.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Business Centre Support Manager","1.68","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Case Progression Manager","2.73","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Casework Administration Manager","5.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Charging Workflow Manager","1.57","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Court Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Paralegal Officer","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Senior Personal Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Victim Liaison Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 (Nat)","25480","28430","Witness Care Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","30.04","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Court Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","HR Advisory Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","MERSEYSIDE AND CHESHIRE","CPS-G-006","Level B2 (Nat)","30130","33310","Performance Manager","1.00","Law"
